"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 12:19:43 EST 2024","Tue Jan 02 12:19:43 EST 2024","302","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to Implementation page having an tryEditor","","The user is able to navigate to Implementation page having an tryEditor",""
"passed","Tue Jan 02 12:19:51 EST 2024","Tue Jan 02 12:19:51 EST 2024","519","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:32 EST 2024","Tue Jan 02 12:18:39 EST 2024","6305","","Validating Register page","","User launch home page of an dsalgo project","","User launch home page of an dsalgo project",""
"passed","Tue Jan 02 12:19:48 EST 2024","Tue Jan 02 12:19:49 EST 2024","698","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:47 EST 2024","Tue Jan 02 12:18:48 EST 2024","882","","Validating Login page","","Sign-Out scenario","","Sign-Out scenario",""
"passed","Tue Jan 02 12:20:20 EST 2024","Tue Jan 02 12:20:21 EST 2024","518","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:41 EST 2024","Tue Jan 02 12:18:41 EST 2024","394","","Validating Register page","","The user is presented with error message for password with characters less than eight","","The user is presented with error message for password with characters less than eight",""
"passed","Tue Jan 02 12:20:14 EST 2024","Tue Jan 02 12:20:15 EST 2024","273","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation of Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Implementation of Binary Trees Page",""
"passed","Tue Jan 02 12:19:27 EST 2024","Tue Jan 02 12:19:28 EST 2024","788","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:32 EST 2024","Tue Jan 02 12:19:32 EST 2024","611","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:33 EST 2024","Tue Jan 02 12:19:33 EST 2024","428","","Testing LinkedList page","","user navigated to ""Traversal"" page","","user navigated to ""Traversal"" page",""
"passed","Tue Jan 02 12:19:52 EST 2024","Tue Jan 02 12:19:53 EST 2024","694","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:17:40 EST 2024","Tue Jan 02 12:17:46 EST 2024","6781","","User launch dsalgo application and test Home page","","User launch home page of an dsalgo project","","User launch home page of an dsalgo project",""
"passed","Tue Jan 02 12:19:31 EST 2024","Tue Jan 02 12:19:31 EST 2024","373","","Testing LinkedList page","","user navigated to ""Implementation linked list in python"" page","","user navigated to ""Implementation linked list in python"" page",""
"passed","Tue Jan 02 12:19:04 EST 2024","Tue Jan 02 12:19:06 EST 2024","2332","","Array feature","","The user is able to run code in tryEditor for Search the array link","","The user is able to run code in tryEditor for Search the array link",""
"passed","Tue Jan 02 12:18:39 EST 2024","Tue Jan 02 12:18:39 EST 2024","269","","Validating Register page","","The user is presented with error message for empty fields below Password textbox","","The user is presented with error message for empty fields below Password textbox",""
"passed","Tue Jan 02 12:20:03 EST 2024","Tue Jan 02 12:20:03 EST 2024","373","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Tree Traversals"" Page","","The user is able to navigate to ""Tree Traversals"" Page",""
"passed","Tue Jan 02 12:18:39 EST 2024","Tue Jan 02 12:18:40 EST 2024","278","","Validating Register page","","The user is presented with error message for empty fields below confirm Password textbox","","The user is presented with error message for empty fields below confirm Password textbox",""
"passed","Tue Jan 02 12:18:28 EST 2024","Tue Jan 02 12:18:32 EST 2024","3388","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Graph"" without sign in","","User is on Home page and click on dropdown ""Graph"" without sign in",""
"passed","Tue Jan 02 12:19:24 EST 2024","Tue Jan 02 12:19:24 EST 2024","615","","Testing LinkedList page","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 02 12:20:22 EST 2024","Tue Jan 02 12:20:23 EST 2024","527","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 02 12:20:09 EST 2024","Tue Jan 02 12:20:10 EST 2024","632","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:12 EST 2024","Tue Jan 02 12:20:12 EST 2024","574","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:35 EST 2024","Tue Jan 02 12:19:35 EST 2024","446","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:57 EST 2024","Tue Jan 02 12:18:58 EST 2024","999","","Array feature","","Navigating Arrays Using List page","","Navigating Arrays Using List page",""
"passed","Tue Jan 02 12:20:14 EST 2024","Tue Jan 02 12:20:14 EST 2024","358","","User tests the Tree page on the Ds algo application","","The user is able to navigate to Implementation of Binary Trees Page","","The user is able to navigate to Implementation of Binary Trees Page",""
"passed","Tue Jan 02 12:20:05 EST 2024","Tue Jan 02 12:20:05 EST 2024","313","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Traversals-Illustration Page","","The user is able to navigate to a page having an tryEditor from Traversals-Illustration Page",""
"passed","Tue Jan 02 12:18:42 EST 2024","Tue Jan 02 12:18:43 EST 2024","783","","Validating Register page","","The user redirected to Homepage with valid details","","The user redirected to Homepage with valid details",""
"passed","Tue Jan 02 12:20:23 EST 2024","Tue Jan 02 12:20:24 EST 2024","1365","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to navigate to Graph Graph page","","The user is able to navigate to Graph Graph page",""
"passed","Tue Jan 02 12:19:40 EST 2024","Tue Jan 02 12:19:40 EST 2024","254","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is directed to ""Stack"" Page","","The user is directed to ""Stack"" Page",""
"passed","Tue Jan 02 12:20:16 EST 2024","Tue Jan 02 12:20:16 EST 2024","366","","User tests the Tree page on the Ds algo application","","The user is able to navigate to Applications of Binary Trees Page","","The user is able to navigate to Applications of Binary Trees Page",""
"passed","Tue Jan 02 12:18:46 EST 2024","Tue Jan 02 12:18:46 EST 2024","552","","Validating Login page","","User on login page and login with valid username and invalid password","","User on login page and login with valid username and invalid password",""
"passed","Tue Jan 02 12:19:49 EST 2024","Tue Jan 02 12:19:49 EST 2024","586","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:17:47 EST 2024","Tue Jan 02 12:17:50 EST 2024","3697","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in","","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in",""
"passed","Tue Jan 02 12:19:37 EST 2024","Tue Jan 02 12:19:37 EST 2024","432","","Testing LinkedList page","","user navigated to ""Deletion"" page","","user navigated to ""Deletion"" page",""
"passed","Tue Jan 02 12:19:38 EST 2024","Tue Jan 02 12:19:39 EST 2024","627","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:25 EST 2024","Tue Jan 02 12:18:28 EST 2024","3364","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Tree"" without sign in","","User is on Home page and click on dropdown ""Tree"" without sign in",""
"passed","Tue Jan 02 12:19:55 EST 2024","Tue Jan 02 12:19:56 EST 2024","655","","User tests the Tree page on the Ds algo application","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 02 12:18:48 EST 2024","Tue Jan 02 12:18:49 EST 2024","771","","DataStructures-Introduction feature","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 02 12:18:55 EST 2024","Tue Jan 02 12:18:55 EST 2024","328","","Array feature","","Navigating to Array page","","Navigating to Array page",""
"passed","Tue Jan 02 12:20:17 EST 2024","Tue Jan 02 12:20:18 EST 2024","715","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Binary Search Trees"" Page","","The user is able to navigate to ""Binary Search Trees"" Page",""
"passed","Tue Jan 02 12:18:45 EST 2024","Tue Jan 02 12:18:45 EST 2024","386","","Validating Login page","","User on login page and login with valid username and empty password","","User on login page and login with valid username and empty password",""
"passed","Tue Jan 02 12:20:27 EST 2024","Tue Jan 02 12:20:28 EST 2024","1471","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to navigate to graph page and click on Graph Representations link","","The user is able to navigate to graph page and click on Graph Representations link",""
"passed","Tue Jan 02 12:19:09 EST 2024","Tue Jan 02 12:19:11 EST 2024","2123","","Array feature","","The user is able to run code in tryEditor for Max Consecutive Ones","","The user is able to run code in tryEditor for Max Consecutive Ones",""
